dan,place,win,draw,lose,win_rate,draw_rate,lose_rate,init_score,rank_up_score
1,basic_nan,45,0,-30,0.25,0.25,0.25,200,400
2,basic_nan,45,0,-60,0.25,0.25,0.25,400,800
3,basic_nan,45,0,-75,0.25,0.25,0.25,600,1200
4,basic_nan,45,0,-90,0.25,0.25,0.25,800,1600
5,basic_nan,45,0,-105,0.25,0.25,0.25,1000,2000
6,basic_nan,45,0,-120,0.25,0.25,0.25,1200,2400
7,basic_nan,45,0,-135,0.25,0.25,0.25,1400,2800
8,basic_nan,45,0,-150,0.25,0.25,0.25,1600,3200
9,basic_nan,45,0,-165,0.25,0.25,0.25,1800,3600
10,basic_nan,45,0,-180,0.25,0.25,0.25,2000,4000
1,joukyu_nan,75,0,-30,0.25,0.25,0.25,200,400
2,joukyu_nan,75,0,-60,0.25,0.25,0.25,400,800
3,joukyu_nan,75,0,-75,0.25,0.25,0.25,600,1200
4,joukyu_nan,75,0,-90,0.25,0.25,0.25,800,1600
5,joukyu_nan,75,0,-105,0.25,0.25,0.25,1000,2000
6,joukyu_nan,75,0,-120,0.25,0.25,0.25,1200,2400
7,joukyu_nan,75,0,-135,0.25,0.25,0.25,1400,2800
8,joukyu_nan,75,0,-150,0.25,0.25,0.25,1600,3200
9,joukyu_nan,75,0,-165,0.25,0.25,0.25,1800,3600
10,joukyu_nan,75,0,-180,0.25,0.25,0.25,2000,4000
1,tokujou_nan,105,0,-30,0.25,0.25,0.25,200,400
2,tokujou_nan,105,0,-60,0.25,0.25,0.25,400,800
3,tokujou_nan,105,0,-75,0.25,0.25,0.25,600,1200
4,tokujou_nan,105,0,-90,0.25,0.25,0.25,800,1600
5,tokujou_nan,105,0,-105,0.25,0.25,0.25,1000,2000
6,tokujou_nan,105,0,-120,0.25,0.25,0.25,1200,2400
7,tokujou_nan,105,0,-135,0.25,0.25,0.25,1400,2800
8,tokujou_nan,105,0,-150,0.25,0.25,0.25,1600,3200
9,tokujou_nan,105,0,-165,0.25,0.25,0.25,1800,3600
10,tokujou_nan,105,0,-180,0.25,0.25,0.25,2000,4000
1,houou_nan,135,0,-30,0.25,0.25,0.25,200,400
2,houou_nan,135,0,-60,0.25,0.25,0.25,400,800
3,houou_nan,135,0,-75,0.25,0.25,0.25,600,1200
4,houou_nan,135,0,-90,0.25,0.25,0.25,800,1600
5,houou_nan,135,0,-105,0.25,0.25,0.25,1000,2000
6,houou_nan,135,0,-120,0.25,0.25,0.25,1200,2400
7,houou_nan,135,0,-135,0.25,0.25,0.25,1400,2800
8,houou_nan,135,0,-150,0.25,0.25,0.25,1600,3200
9,houou_nan,135,0,-165,0.25,0.25,0.25,1800,3600
10,houou_nan,135,0,-180,0.25,0.25,0.25,2000,4000